api8,gas_mcf_d,oil_bbl_d
38930884,0.0,0.0
38930888,0.0,0.0
38930471,0.0,0.0
38930476,0.0,0.0
38930871,0.0,0.0
38930874,0.0,0.0
38930901,0.0,0.0
38930895,0.0,0.0
38930916,0.0,0.0
38930458,16.52,0.0
38930922,0.0,0.0
38930910,0.0,0.0
38930930,0.0,0.0
38930942,0.0,0.0
38930945,0.0,0.0
38930948,0.0,0.0
38930934,0.0,0.0
38930493,3.76,0.0
38930952,0.0,0.0
38930865,0.0,0.0
38930946,0.0,0.0
38930923,0.0,0.0
38910458,28.57,0.0
38930933,0.0,0.0
38930894,0.0,0.0
38930963,0.0,0.0
38901128,0.0,0.0
38930988,0.0,0.0
38930441,0.0,0.0
38930992,0.0,0.0
38930976,0.0,0.0
38930893,0.0,0.0
38930935,0.0,0.0
38931007,0.0,0.0
38930886,0.0,0.0
38930987,0.0,0.0
38931032,0.0,0.0
38931046,0.0,0.0
38931042,0.0,0.0
38931037,0.0,0.0
38931033,0.0,0.0
38931041,0.0,0.0
38931035,0.0,0.0
38931034,0.0,0.0
38931054,0.0,0.0
38931048,0.0,0.0
38931002,89.08,0.81
38931058,0.0,0.0
38931093,0.0,0.0
38931148,28.81,0.0
38931103,0.0,0.0
38931129,0.0,0.0
38930259,0.0,0.0
38931223,0.0,0.0
38930056,0.0,0.0
38931170,0.0,0.0
38931261,0.0,0.0
38931222,0.0,0.0
38931231,0.0,0.0
38931306,0.0,0.0
38930295,0.0,0.0
38931270,0.0,0.0
38931346,57.65,0.01
38931338,0.0,0.0
38931347,21.34,0.0
38931433,0.0,0.0
38900175,0.0,0.0
38931420,0.0,0.0
38931481,56.24,0.77
38931450,0.0,0.0
38931452,0.0,0.0
38931507,0.0,0.0
38930422,0.0,0.0
38931567,0.0,0.0
38931657,100.48,0.0
38931577,0.0,0.0
38931668,0.0,0.0
38931139,0.0,0.0
38920100,0.0,0.0
38910421,36.85,0.0
38931831,0.0,0.0
38930501,9.65,0.0
38931689,0.0,0.0
38910063,0.0,0.0
38910497,0.0,0.0
38910175,0.0,0.0
38910422,0.0,0.0
38910439,0.0,0.0
38900375,0.0,0.0
38930201,0.0,0.0
38931904,0.0,0.0
38901172,0.0,0.0
38900370,0.0,0.0
38931777,7.41,0.0
38931955,0.0,0.0
38910444,0.0,0.0
38930299,0.0,0.0
38931986,0.0,0.0
38910420,0.0,0.0
38910460,0.0,0.0
38932029,0.0,0.0
38901070,0.0,0.0
38910535,0.0,0.0
38930199,0.0,0.0
38932042,0.0,0.0
38932052,0.0,0.0
38932061,0.0,0.0
38932062,0.0,0.0
38932050,0.0,0.0
38932064,0.0,0.0
38932063,0.0,0.0
38932065,0.0,0.0
38930181,0.0,0.0
38930227,0.0,0.0
38930083,0.0,0.0
38932068,0.0,0.0
38932083,0.0,0.0
38900396,0.0,0.0
38932076,0.0,0.0
38932092,3.86,0.66
38931180,0.0,0.0
38932095,0.0,0.0
38932100,1.81,0.4
38932094,0.0,0.0
38932097,0.0,0.0
38932096,0.0,0.0
38932099,0.0,0.0
38932106,0.0,0.0
38932109,0.0,0.0
38932105,0.0,0.0
38932104,1.9,0.0
38932122,0.0,0.0
38930081,0.0,0.0
38932108,0.0,0.0
38910058,0.0,0.0
38932137,0.0,0.0
38932125,0.0,0.0
38930263,0.0,0.0
38930293,0.0,0.0
38932150,0.0,0.0
38932134,0.0,0.0
38932152,0.0,0.15
38932158,0.0,0.0
38932160,0.0,0.0
38932161,0.0,0.0
38932163,0.0,0.0
38932162,0.0,0.0
38932118,0.0,0.0
38932169,0.0,0.0
38932168,0.0,0.0
38932172,0.0,0.0
38932173,0.0,0.0
38932166,0.0,0.0
38932170,0.0,0.0
38932186,0.0,0.0
38932178,0.0,0.0
38932179,0.0,0.0
38932187,0.0,0.0
38932190,0.0,0.0
38932198,0.0,0.0
38932200,0.0,0.0
38932201,0.0,0.0
38932209,0.0,0.0
38930239,0.0,0.0
38932189,0.0,0.0
38932188,0.0,0.0
38932191,0.0,0.0
38932213,0.0,0.0
38932219,0.0,0.0
38932206,0.0,0.0
38932215,0.0,0.0
38932218,0.0,0.0
38932214,0.0,0.0
38932199,0.0,0.0
38932232,0.0,0.0
38932225,0.0,0.0
38932220,0.0,0.0
38932224,0.0,0.0
38932221,0.12,0.0
38932216,0.0,0.0
38932249,0.0,0.0
38932250,10.49,0.0
38932207,0.0,0.0
38932211,30.43,0.0
38932231,16.91,0.0
38932255,2.61,0.0
38932194,0.0,0.0
38932256,77.58,0.0
38930271,0.0,0.0
38932244,87.05,0.0
38932245,0.0,0.0
38932252,0.0,0.0
38932260,0.0,0.0
38930026,1.15,0.0
38932273,0.0,0.0
38932165,0.0,0.0
38932202,0.0,0.0
38932284,0.0,0.0
38932291,0.0,0.0
38932268,0.0,0.0
38932272,0.0,0.0
38931513,0.0,0.0
38930509,0.0,0.0
38932285,0.0,0.0
38932132,0.0,0.0
38932304,0.0,0.0
38932336,0.0,0.0
38932297,1.91,0.0
38932283,0.0,0.0
38932145,0.0,0.0
38932331,0.0,0.0
38910415,7.61,0.0
38932282,0.0,0.0
38932292,25.92,0.0
38932210,0.0,0.0
38932286,0.71,0.0
38932353,0.0,0.0
38932303,0.0,0.0
38932270,0.0,0.0
38931056,0.0,0.0
38932290,0.0,0.0
38932355,0.0,0.0
38932357,0.0,0.0
38932358,0.0,0.0
38932359,0.0,0.0
38932360,0.0,0.0
38932356,0.0,0.0
38910511,0.0,0.0
38932379,4.61,0.0
38932351,0.0,0.0
38932371,0.0,0.0
38932432,0.0,0.0
38932408,7.35,0.0
38932398,0.0,0.0
38932390,0.0,0.0
38932404,0.0,0.0
38932399,0.0,0.0
38900705,0.0,0.0
38932425,0.0,0.0
38910479,0.0,0.0
38932378,20.89,0.0
38932397,0.0,0.0
38932296,66.84,0.0
38932388,0.0,0.0
38932435,0.0,0.0
38932436,0.0,0.0
38932438,0.0,0.0
38910542,0.0,0.0
38932380,0.0,0.0
